2026-02-05 17:57:12 | INFO     | agent_service.py:103 | make_graph | ✅ 集中式客服系统工作流图构建完成
2026-02-05 17:57:12 | INFO     | web_app.py:231 | <module> | 🚀 法律AI助手
2026-02-05 17:57:12 | INFO     | web_app.py:232 | <module> | ============================================================
2026-02-05 17:57:12 | INFO     | web_app.py:233 | <module> | 🌐 启动服务...
2026-02-05 17:57:12 | INFO     | web_app.py:234 | <module> | 📱 访问地址: http://localhost:5000
2026-02-05 17:57:12 | INFO     | web_app.py:235 | <module> | 📄 API 文档: http://localhost:5000/docs
2026-02-05 17:57:12 | INFO     | web_app.py:236 | <module> | 💡 按 Ctrl+C 停止服务
2026-02-05 17:57:12 | INFO     | agent_service.py:103 | make_graph | ✅ 集中式客服系统工作流图构建完成
2026-02-05 17:57:12 | INFO     | web_app.py:96 | lifespan | 🚀 初始化数据库...
2026-02-05 17:57:33 | INFO     | web_app.py:99 | lifespan | 🛑 应用关闭
